type,memory_data_mb,memory_serialized_mb,compression_ratio
integers,0.37890625,1.53125,4.041237113402062
floats,2.12109375,2.90234375,1.3683241252302025
strings,2.7421875,8.72265625,3.180911680911681
lists,3.01171875,4.8515625,1.6108949416342413
dicts,10.6171875,4.921875,0.46357615894039733
complex_objects,74.13671875,20.4609375,0.275989251277728
