m_name,depth,t_creation,t_serialization,t_deserialization,mem,serialized_size
dataclass,31,0.0067,0.0043,0.0034,1.3,0.41
msgspec,32,0.0035,0.0011,0.0018,1.41,0.43
pydantic,32,0.035,0.0179,0.0369,18.09,0.64
dataclass,32,0.0066,0.0051,0.0037,1.41,0.43
msgspec,33,0.003,0.0012,0.0019,1.45,0.44
pydantic,33,0.0367,0.0163,0.0399,18.04,0.66
dataclass,33,0.0069,0.0049,0.0037,1.61,0.44
msgspec,34,0.0032,0.0011,0.0021,1.61,0.45
pydantic,34,0.0454,0.0187,0.0383,18.03,0.68
dataclass,34,0.0091,0.005,0.0035,1.55,0.45
msgspec,35,0.0028,0.0012,0.0019,1.56,0.47
pydantic,35,0.0344,0.018,0.0388,18.84,0.7
dataclass,35,0.0083,0.0038,0.0033,1.52,0.47
msgspec,36,0.0028,0.0012,0.002,1.59,0.48
pydantic,36,0.0393,0.018,0.0418,20.34,0.72
dataclass,36,0.0067,0.0042,0.0035,1.56,0.48
msgspec,37,0.0033,0.0012,0.002,1.62,0.49
pydantic,37,0.0382,0.0187,0.0402,20.12,0.74
dataclass,37,0.0083,0.004,0.0036,1.61,0.49
msgspec,38,0.0029,0.0013,0.0021,1.72,0.51
pydantic,38,0.0358,0.0195,0.0414,19.75,0.76
dataclass,38,0.0072,0.0041,0.0036,1.62,0.51
msgspec,39,0.0037,0.0023,0.0026,1.7,0.52
pydantic,39,0.0388,0.0204,0.0514,21.15,0.78
dataclass,39,0.0079,0.0054,0.0049,1.56,0.52
msgspec,40,0.0036,0.0014,0.0029,1.64,0.54
pydantic,40,0.0423,0.0234,0.0473,22.02,0.8
dataclass,40,0.0078,0.0045,0.0056,1.66,0.54
msgspec,41,0.0032,0.0014,0.0023,1.64,0.55
pydantic,41,0.0402,0.0228,0.0473,22.08,0.82
dataclass,41,0.0076,0.005,0.0039,1.58,0.55
msgspec,42,0.0044,0.0019,0.0029,1.61,0.56
pydantic,42,0.041,0.0212,0.0514,22.24,0.84
dataclass,42,0.0084,0.0052,0.0051,1.56,0.56
msgspec,43,0.0039,0.0024,0.0039,1.7,0.58
pydantic,43,0.0453,0.0219,0.0541,21.9,0.86
dataclass,43,0.0115,0.0061,0.0041,1.66,0.58
msgspec,44,0.0044,0.0014,0.0026,1.62,0.59
pydantic,44,0.0415,0.0217,0.0546,23.47,0.88
dataclass,44,0.0094,0.0153,0.0076,1.65,0.59
msgspec,45,0.0057,0.0023,0.004,2.33,0.6
pydantic,45,0.0458,0.0238,0.0669,24.01,0.9
dataclass,45,0.0085,0.0054,0.0046,2.32,0.6
msgspec,46,0.0053,0.0022,0.0035,2.43,0.62
pydantic,46,0.0551,0.0257,0.0677,24.9,0.92
dataclass,46,0.0092,0.0057,0.0047,2.3,0.62
msgspec,47,0.0037,0.002,0.0028,2.37,0.63
pydantic,47,0.0498,0.0252,0.062,25.74,0.94
dataclass,47,0.0087,0.0059,0.0049,2.32,0.63
msgspec,48,0.0039,0.0018,0.0028,2.4,0.64
pydantic,48,0.0494,0.026,0.0636,24.79,0.96
dataclass,48,0.0093,0.0058,0.0048,2.06,0.64
msgspec,49,0.0046,0.002,0.0033,2.39,0.66
pydantic,49,0.0562,0.0267,0.0626,26.24,0.98
dataclass,49,0.0089,0.0057,0.005,2.25,0.66
msgspec,50,0.0038,0.0017,0.003,2.31,0.67
pydantic,50,0.0479,0.0253,0.0606,27.67,1.0
dataclass,50,0.0087,0.0054,0.0047,1.79,0.67
msgspec,51,0.0037,0.0017,0.0028,2.44,0.68
pydantic,51,0.052,0.0252,0.0598,27.89,1.02
dataclass,51,0.0092,0.0054,0.006,2.13,0.68
msgspec,52,0.0046,0.0018,0.0029,2.46,0.7
pydantic,52,0.0475,0.0261,0.0637,29.5,1.04
dataclass,52,0.0108,0.0058,0.0049,1.91,0.7
msgspec,53,0.0047,0.0028,0.0034,2.44,0.71
