m_name,n_args,t_creation,t_serialization,mem
pydantic,45,0.9699,0.3134,590.14
dataclass,45,0.7001,0.112,537.29
msgspec,46,0.7025,0.0972,535.32
pydantic,46,0.9853,0.3156,599.46
dataclass,46,0.7101,0.1072,545.89
msgspec,47,0.7061,0.1007,544.36
pydantic,47,1.0194,0.3246,606.93
dataclass,47,0.7164,0.1076,552.35
msgspec,48,0.724,0.0999,551.82
pydantic,48,1.0316,0.3307,615.79
dataclass,48,0.7462,0.1115,560.11
msgspec,49,0.7369,0.1051,559.05
pydantic,49,1.0451,0.3339,622.39
dataclass,49,0.7563,0.1102,566.43
msgspec,50,0.7414,0.1048,567.86
pydantic,50,1.0686,0.3394,631.91
dataclass,50,0.7587,0.1111,577.13
msgspec,51,0.7589,0.1036,576.19
pydantic,51,1.0752,0.3451,642.48
dataclass,51,0.7714,0.1139,585.74
msgspec,52,0.7744,0.1056,585.05
pydantic,52,1.0924,0.3523,651.48
dataclass,52,0.7787,0.1149,596.2
msgspec,53,0.793,0.1098,592.31
pydantic,53,1.1249,0.3629,660.49
dataclass,53,0.795,0.1176,601.47
msgspec,54,0.7864,0.1074,601.95
pydantic,54,1.1286,0.3661,667.47
dataclass,54,0.8063,0.1162,610.45
msgspec,55,0.8058,0.111,609.68
pydantic,55,1.1449,0.3681,677.24
dataclass,55,0.8187,0.118,501.42
msgspec,56,0.8189,0.1114,618.26
pydantic,56,1.1186,0.375,571.95
dataclass,56,0.819,0.119,514.06
msgspec,57,0.8435,0.1125,626.34
pydantic,57,1.1342,0.3818,580.07
dataclass,57,0.8276,0.1211,519.63
msgspec,58,0.8497,0.1153,636.7
pydantic,58,1.162,0.3911,584.1
dataclass,58,0.8557,0.1229,643.87
msgspec,59,0.8475,0.1144,520.69
pydantic,59,1.1722,0.419,591.36
dataclass,59,0.8604,0.124,529.81
msgspec,60,0.8526,0.1162,527.87
pydantic,60,1.191,0.3992,721.24
dataclass,60,0.8915,0.1264,660.73
msgspec,61,0.8782,0.1188,539.84
pydantic,61,1.2079,0.4056,731.14
dataclass,61,0.8754,0.1259,548.75
msgspec,62,0.8912,0.1181,547.32
pydantic,62,1.2164,0.4124,619.82
dataclass,62,0.8878,0.1269,559.22
msgspec,63,0.8957,0.1309,556.81
pydantic,63,1.2357,0.419,627.37
dataclass,63,0.8966,0.1387,563.0
msgspec,64,0.9011,0.1314,562.28
pydantic,64,1.2567,0.4241,632.93
dataclass,64,0.8949,0.1386,570.58
msgspec,65,0.9194,0.1339,572.39
pydantic,65,1.2528,0.4357,643.38
dataclass,65,0.9333,0.1424,575.98
msgspec,66,0.9247,0.1326,572.34
pydantic,66,1.2637,0.4353,641.81
dataclass,66,0.9479,0.1429,579.43
msgspec,67,0.9317,0.1362,577.39
pydantic,67,1.2771,0.4416,650.25
dataclass,67,0.941,0.1532,586.45
msgspec,68,0.9445,0.1354,584.84
pydantic,68,1.2903,0.4452,657.03
dataclass,68,0.9567,0.1437,593.22
msgspec,69,0.9854,0.1369,593.91
pydantic,69,1.3282,0.4564,804.28
dataclass,69,0.9686,0.1464,602.09
msgspec,70,0.9828,0.1401,602.54
pydantic,70,1.3255,0.4606,677.52
dataclass,70,0.9817,0.1464,612.79
msgspec,71,0.9797,0.1415,610.98
pydantic,71,1.3457,0.466,683.12
dataclass,71,0.9937,0.1522,617.43
msgspec,72,0.9903,0.14,616.62
pydantic,72,1.3669,0.4775,692.07
dataclass,72,1.0083,0.1514,627.67
msgspec,73,1.0145,0.1417,626.25
pydantic,73,1.4167,0.4756,699.89
dataclass,73,1.0119,0.1511,634.75
msgspec,74,1.0235,0.143,635.11
pydantic,74,1.3887,0.5029,708.71
dataclass,74,1.0402,0.1521,643.51
msgspec,75,1.0274,0.1439,642.77
pydantic,75,1.4102,0.4921,717.18
dataclass,75,1.0392,0.1554,650.58
msgspec,76,1.0374,0.1433,651.25
pydantic,76,1.434,0.5164,727.07
dataclass,76,1.0501,0.1534,659.05
msgspec,77,1.0511,0.1489,657.19
pydantic,77,1.4245,0.5168,734.96
dataclass,77,1.0723,0.1578,665.26
msgspec,78,1.0657,0.1469,664.09
pydantic,78,1.4361,0.5158,739.73
dataclass,78,1.0733,0.1592,673.64
msgspec,79,1.0736,0.1487,671.83
pydantic,79,1.4618,0.5245,750.86
dataclass,79,1.0862,0.1605,681.18
msgspec,80,1.0874,0.1507,677.87
pydantic,80,1.4669,0.5378,755.55
dataclass,80,1.1042,0.1607,688.94
msgspec,81,1.1192,0.154,687.29
pydantic,81,1.4894,0.5437,763.7
dataclass,81,1.1185,0.1613,696.12
msgspec,82,1.1191,0.154,694.64
pydantic,82,1.4997,0.5492,773.64
dataclass,82,1.1231,0.1684,704.69
msgspec,83,1.1253,0.1638,704.52
pydantic,83,1.58,0.5454,783.32
dataclass,83,1.1375,0.1642,715.48
msgspec,84,1.1375,0.155,712.95
pydantic,84,1.5533,0.5521,792.35
dataclass,84,1.1526,0.1644,723.46
msgspec,85,1.1476,0.1586,721.84
pydantic,85,1.5689,0.5548,802.65
dataclass,85,1.1617,0.168,731.56
msgspec,86,1.2485,0.173,905.02
pydantic,86,1.6883,0.5723,984.99
dataclass,86,1.2814,0.1841,1062.71
msgspec,87,1.2668,0.1764,902.96
pydantic,87,1.698,0.5713,985.52
dataclass,87,1.2661,0.1836,909.58
msgspec,88,1.2847,0.1742,904.55
pydantic,88,1.7037,0.5836,985.97
dataclass,88,1.314,0.1848,1080.09
msgspec,89,1.2929,0.1795,901.19
pydantic,89,1.7435,0.5914,980.5
dataclass,89,1.3089,0.1864,899.84
msgspec,90,1.2869,0.1763,892.96
pydantic,90,1.7377,0.6082,966.64
dataclass,90,1.2919,0.1875,884.64
msgspec,91,1.2977,0.1783,873.58
pydantic,91,1.7545,0.6039,952.13
dataclass,91,1.3089,0.188,865.35
msgspec,92,1.3261,0.1804,854.9
pydantic,92,1.7624,0.607,941.36
dataclass,92,1.3102,0.1888,861.69
msgspec,93,1.3383,0.184,858.88
pydantic,93,1.7698,0.6137,945.17
dataclass,93,1.3321,0.1997,866.26
msgspec,94,1.3345,0.1966,861.69
pydantic,94,1.7755,0.619,946.37
